Name,ActiveSubstance,Targ,AnaloguesText,AnalogsLinks,PharmaLink-href,Lots-href,Аптека/Адрес,Метро,Цена,As,Tf-Idf,KwFilt
5-АСА (Actastav),Месалазин* (Mesalazine*), — противовоспалительное,"






















","






















",https://www.rlsnet.ru/tn_index_id_7554.htm,"






















","






















","






















","






















","['месалазин', 'mesalazine']",{'противовоспалительн': 0.05143309341065543},{'противовоспалительн': 0.05143309341065543}
5-НОК® (5-NOK®),Нитроксолин* (Nitroxoline*), — антибактериальное,"
























","
























",https://www.rlsnet.ru/tn_index_id_3778.htm,"https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/8254355/&page=/tn_index_id_3778.htm




https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_5-nok-tab-p-o-50mg-n50-0008273.html&page=/tn_index_id_3778.htm









https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/5-nok-tab-p-o-50mg-n50-43&page=/tn_index_id_3778.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/13432&page=/tn_index_id_3778.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/5-nok-37588/&page=/tn_index_id_3778.htm





","


















ПроАптека. Здравсити №11  Вертолетчиков ул, 9 к 2, Москва  Экспресс заказ  09:00-21:00 Пн-Вс





","
























","


















168₽Забрать сегодня





","['нитроксолин', 'nitroxoline']",{'антибактериальн': 0.10700622334134198},{'антибактериальн': 0.10700622334134198}
9 месяцев Фолиевая кислота (Folic acid 9 months),Фолиевая кислота* (Folic acid*), — восполняющее дефицит фолиевой кислоты,"













97.18 р.






97.18 р.




















279.24 р.



261.90 р.

97.18 р.








279.24 р.














","


97.18 р.









279.24 р.




261.90 р.






























97.18 р.













279.24 р.




97.18 р.



",https://www.rlsnet.ru/tn_index_id_41031.htm,"































https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/9-mesyatsev-folievaya-k-ta-tab-p-p-o-0-4mg-n30-4805&page=/tn_index_id_41031.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_9-mesjacev-folievaja-k-ta-tab-p-p-o-0-4mg-n30-0017994.html&page=/tn_index_id_41031.htm




https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/9_mesyatsev_folievaya_kislota_04mg_n90_tab_valenta_farmatsevtika.html&page=/tn_index_id_41031.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/9-mesyacev-folievaya-kislota-353676/&page=/tn_index_id_41031.htm




https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/9-mesyacev-folievaya-kislota-353674/&page=/tn_index_id_41031.htm












https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/74503&page=/tn_index_id_41031.htm




https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/9_mesyatsev_folievaya_kislota_04mg_n30_tab_valenta_farmatsevtika.html&page=/tn_index_id_41031.htm

","














































Диалог  Рельсовая ул, 2, Малаховка рп, Люберцы, МО  Экспресс заказ  8:00-22:00 Пн-Вс




ПроАптека. Здравсити МЦК Деловой центр  Тестовская ул, 1, Москва  Экспресс заказ  09:00-20:00 Пн-Вс



















","



















































Деловой центр



















","














































320₽Забрать сегодня




101₽Забрать сегодня



















","['фолиев', 'кислот', 'folic', 'acid']","{'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'фолиев': 5.746203190540153, 'кислот': 5.746203190540153}","{'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'фолиев': 5.746203190540153, 'кислот': 5.746203190540153}"
H-B-ВАКС II (H-B-Vax II®),Вакцина для профилактики вирусного гепатита В (Vaccine hepatitis B), — иммуностимулирующее,"























","























",https://www.rlsnet.ru/tn_index_id_7508.htm,"























","























","























","























","['вакцин', 'для', 'профилактик', 'вирусн', 'гепат', 'в', 'vaccine', 'hepatitis', 'b']",{'иммуностимулир': 0.2717747117293461},{'иммуностимулир': 0.2717747117293461}
HL-Колд (HL-Cold®),Ацетилсалициловая кислота + Хлорфенамин + Фенилпропаноламин (Acetylsalicilic acid + Chlorphenamine + Phenylpropanolamine)," — противовоспалительное, жаропонижающее, анальгезирующее","


















","


















",https://www.rlsnet.ru/tn_index_id_2364.htm,"


















","


















","


















","


















","['ацетилсалицилов', 'кислот', 'хлорфенамин', 'фенилпропаноламин', 'acetylsalicilic', 'acid', 'chlorphenamine', 'phenylpropanolamine']","{'противовоспалительн': 0.05143309341065543, 'жаропонижа': 0.45834520610753965, 'анальгезир': 0.24471183331373975}","{'противовоспалительн': 0.05143309341065543, 'жаропонижа': 0.45834520610753965, 'анальгезир': 0.24471183331373975}"
L-Аспарагиназа (L-Asparaginase),Аспарагиназа (Asparaginase), — противоопухолевое,"








































































","








































































",https://www.rlsnet.ru/tn_index_id_810.htm,"








































































","








































































","








































































","








































































","['аспарагиназ', 'asparaginase']",{'противоопухолев': 0.1586573018135549},{'противоопухолев': 0.1586573018135549}
L-Тироксин 100 Берлин-Хеми (L-Thyroxin 100 Berlin-Chemie),Левотироксин натрия* (Levothyroxine sodium*)," — тиреоидное, восполняющее дефицит гормонов щитовидной железы","





















L-Тироксин



Эутирокс®













L-Тироксин 125 Берлин-Хеми


L-Тироксин 75 Берлин-Хеми
















L-Тироксин 50 Берлин-Хеми




Баготирокс





L-Тироксин 150 Берлин-Хеми







","
L-Тироксин




L-Тироксин 50 Берлин-Хеми
L-Тироксин 75 Берлин-Хеми































Эутирокс®










L-Тироксин 125 Берлин-Хеми















L-Тироксин 150 Берлин-Хеми










Баготирокс

",https://www.rlsnet.ru/tn_index_id_9888.htm,"




















https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/l-tiroksin-100-berlin-hemi-108341/&page=/tn_index_id_9888.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/l-tiroksin-100-berlin-hemi-108342/&page=/tn_index_id_9888.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/36223&page=/tn_index_id_9888.htm





















https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/36224&page=/tn_index_id_9888.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/l-tiroksin_100_berlin-khemi_n100_tab_berlin-khemi.html&page=/tn_index_id_9888.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_l-tiroksin-100-berlin-hemi-tab-100mkg-n100-0011139.html&page=/tn_index_id_9888.htm












https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/l-tiroksin-100-berlin-hemi-tab-100mkg-n100-1672&page=/tn_index_id_9888.htm



","




















36,6  Рублевское ш, 22, Москва  Экспресс заказ  09:00-22:00 Пн-Вс






АСНА  Новочеремушкинская ул, 50, Москва  Экспресс заказ  09:00-21:00 Пн-Вс


















































","




















Молодежная

























































","




















116₽Забрать сегодня






85₽Забрать сегодня


















































","['левотироксин', 'натр', 'levothyroxine', 'sodium']","{'тиреоидн': 2.5265280049901038, 'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'гормон': 0.8273530556212105, 'щитовидн': 0.8273530556212105, 'желез': 0.5428990059264057}","{'тиреоидн': 2.5265280049901038, 'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'гормон': 0.8273530556212105, 'щитовидн': 0.8273530556212105, 'желез': 0.5428990059264057}"
L-Тироксин 50 Берлин-Хеми (L-Thyroxin 50 Berlin-Chemie),Левотироксин натрия* (Levothyroxine sodium*)," — тиреоидное, восполняющее дефицит гормонов щитовидной железы","L-Тироксин 100 Берлин-Хеми

Баготирокс



L-Тироксин 150 Берлин-Хеми













L-Тироксин






















L-Тироксин 125 Берлин-Хеми




























L-Тироксин 75 Берлин-Хеми

Эутирокс®","












Баготирокс



L-Тироксин 125 Берлин-Хеми











L-Тироксин 150 Берлин-Хеми

L-Тироксин 75 Берлин-Хеми


Эутирокс®




























L-Тироксин





L-Тироксин 100 Берлин-Хеми




",https://www.rlsnet.ru/tn_index_id_9887.htm,"









https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/l-tiroksin-50-berlin-hemi-108339/&page=/tn_index_id_9887.htm





























https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/36225&page=/tn_index_id_9887.htm







https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/484099/&page=/tn_index_id_9887.htm

























","









36,6  Матвеевская ул, 20 к 3, Москва  Экспресс заказ  09:00-22:00 Пн-Вс































































","









































































","









81₽Забрать сегодня































































","['левотироксин', 'натр', 'levothyroxine', 'sodium']","{'тиреоидн': 2.5265280049901038, 'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'гормон': 0.8273530556212105, 'щитовидн': 0.8273530556212105, 'желез': 0.5428990059264057}","{'тиреоидн': 2.5265280049901038, 'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'гормон': 0.8273530556212105, 'щитовидн': 0.8273530556212105, 'желез': 0.5428990059264057}"
L-Тироксин-Акри® (L-Thyroxin-Akri),Левотироксин натрия* (Levothyroxine sodium*), — восполняющее дефицит гормонов щитовидной железы,"










































","










































",https://www.rlsnet.ru/tn_index_id_15577.htm,"










































","










































","










































","










































","['левотироксин', 'натр', 'levothyroxine', 'sodium']","{'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'гормон': 0.8273530556212105, 'щитовидн': 0.8273530556212105, 'желез': 0.5428990059264057}","{'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'гормон': 0.8273530556212105, 'щитовидн': 0.8273530556212105, 'желез': 0.5428990059264057}"
L-Тироксин-Фармак® (L-Thyroxin-Farmak®),Левотироксин натрия* (Levothyroxine sodium*), — восполняющее дефицит гормонов щитовидной железы,"
















","
















",https://www.rlsnet.ru/tn_index_id_14265.htm,"
















","
















","
















","
















","['левотироксин', 'натр', 'levothyroxine', 'sodium']","{'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'гормон': 0.8273530556212105, 'щитовидн': 0.8273530556212105, 'желез': 0.5428990059264057}","{'восполня': 0.13752354584930812, 'дефиц': 0.1286514644198443, 'гормон': 0.8273530556212105, 'щитовидн': 0.8273530556212105, 'желез': 0.5428990059264057}"
