,Targ,KwMult,KwNorm
0,"Плазма  - жидкая часть крови, в которой находятся форменные элементы (эритроциты, лейкоциты, тромбоциты). По изменениям в составе плазмы крови диагностируются различные заболевания (ревматизм, сахарный диабет и тд.). Из плазмы крови готовят лекарственные препараты.","{'плазм': 0.007661231513977942, 'жидк': 0.008427354665375735, 'част': 0.001053419333171967, 'кров': 0.0005333768775554263, 'котор': 0.0008687994500387356, 'наход': 0.00936372740597304, 'формен': 0.02106838666343934, 'элемент': 0.003664067245815537, 'эритроц': 0.004213677332687868, 'лейкоц': 0.005618236443583824, 'тромбоц': 0.01404559110895956, 'изменен': 0.006019539046696954, 'соста': 0.004435449823881966, 'диагностирова': 0.08427354665375736, 'различн': 0.00234093185149326, 'заболеван': 0.0004506606772928201, 'ревматизм': 0.01404559110895956, 'сахарн': 0.007661231513977942, 'диабет': 0.007661231513977942, 'тд': 0.006019539046696954, 'готов': 0.04213677332687868, 'лекарствен': 0.003009769523348477, 'препарат': 0.0026335483329299175}","{'плазм': 0.02990079771208049, 'жидк': 0.03289087748328854, 'част': 0.0041113596854110675, 'котор': 0.003390812111679231, 'наход': 0.036545419425876156, 'формен': 0.08222719370822135, 'элемент': 0.014300381514473277, 'эритроц': 0.01644543874164427, 'лейкоц': 0.021927251655525695, 'тромбоц': 0.05481812913881423, 'изменен': 0.023493483916634673, 'соста': 0.017310988149099232, 'диагностирова': 0.3289087748328854, 'различн': 0.009136354856469039, 'ревматизм': 0.05481812913881423, 'сахарн': 0.02990079771208049, 'диабет': 0.02990079771208049, 'тд': 0.023493483916634673, 'готов': 0.1644543874164427, 'лекарствен': 0.011746741958317337, 'препарат': 0.010278399213527668}"
1,"Контрактура  - ограничение подвижности сустава, вызванное рубцовым стягиванием кожи, сухожилий, заболеваниями мышц, сустава, болевым рефлексом, др. причинами.","{'заболеван': 0.0004506606772928201, 'контрактур': 0.04213677332687868, 'ограничен': 0.01404559110895956, 'подвижн': 0.00936372740597304, 'суста': 0.004013026031131303, 'вызыва': 0.0014529921836854717, 'рубцов': 0.08427354665375736, 'стягиван': 0.08427354665375736, 'кож': 0.0012039078093393908, 'сухожил': 0.01053419333171967, 'мышц': 0.0017198682990562726, 'болев': 0.02809118221791912, 'рефлекс': 0.012039078093393909, 'др': 0.0006532833073934679, 'причин': 0.0029059843673709435}","{'контрактур': 0.14232827874485357, 'ограничен': 0.04744275958161785, 'подвижн': 0.03162850638774524, 'суста': 0.01355507416617653, 'вызыва': 0.0049078716808570195, 'рубцов': 0.28465655748970714, 'стягиван': 0.28465655748970714, 'кож': 0.004066522249852959, 'сухожил': 0.03558206968621339, 'мышц': 0.005809317499789941, 'болев': 0.0948855191632357, 'рефлекс': 0.04066522249852959, 'причин': 0.009815743361714039}"
2,"Сердечный толчок  - вызванное сокращением сердца сотрясение передней стенки грудной клетки, распространяющееся в подложечную область. Сотрясение в области верхушки сердца называется верхушечным толчком. Их смещение, расширение площади, изменение силы помогают при диагностике заболеваний сердца.","{'изменен': 0.006019539046696954, 'заболеван': 0.0004506606772928201, 'вызыва': 0.0014529921836854717, 'сердечн': 0.003009769523348477, 'толчок': 0.01404559110895956, 'сокращен': 0.004013026031131303, 'сердц': 0.001755698888619945, 'сотрясен': 0.04213677332687868, 'передн': 0.008427354665375735, 'стенк': 0.003830615756988971, 'грудн': 0.00936372740597304, 'клетк': 0.0006196584312776277, 'распространя': 0.008427354665375735, 'подложечн': 0.08427354665375736, 'област': 0.00351139777723989, 'верхушк': 0.08427354665375736, 'называ': 0.00702279555447978, 'верхушечн': 0.08427354665375736, 'их': 0.001478483274627322, 'смещен': 0.04213677332687868, 'расширен': 0.008427354665375735, 'площад': 0.08427354665375736, 'сил': 0.02809118221791912, 'помога': 0.02809118221791912, 'диагностик': 0.01053419333171967}","{'изменен': 0.010581572478332685, 'вызыва': 0.0025541726671837513, 'сердечн': 0.0052907862391663426, 'толчок': 0.024690335782776265, 'сокращен': 0.007054381652221789, 'сердц': 0.003086291972847033, 'сотрясен': 0.07407100734832879, 'передн': 0.014814201469665757, 'стенк': 0.006733727940757163, 'грудн': 0.016460223855184176, 'распространя': 0.014814201469665757, 'подложечн': 0.14814201469665758, 'област': 0.006172583945694066, 'верхушк': 0.14814201469665758, 'называ': 0.012345167891388132, 'верхушечн': 0.14814201469665758, 'их': 0.002598982713976449, 'смещен': 0.07407100734832879, 'расширен': 0.014814201469665757, 'площад': 0.14814201469665758, 'сил': 0.04938067156555253, 'помога': 0.04938067156555253, 'диагностик': 0.018517751837082198}"
3,"Вены - кровеносные сосуды, несущие насыщенную углекислотой (венозную) кровь от органов и тканей к сердцу (исключая легочные и пупочную вены, которые несут артериальную, т.е. насыщенную кислородом кровь).","{'кров': 0.0005333768775554263, 'котор': 0.0008687994500387356, 'сердц': 0.001755698888619945, 'вен': 0.00702279555447978, 'кровеносн': 0.004013026031131303, 'сосуд': 0.001755698888619945, 'нест': 0.04213677332687868, 'насыща': 0.04213677332687868, 'углекислот': 0.08427354665375736, 'венозн': 0.01404559110895956, 'орга': 0.000543700300991983, 'ткан': 0.0006019539046696954, 'исключ': 0.08427354665375736, 'легочн': 0.01685470933075147, 'пупочн': 0.08427354665375736, 'артериальн': 0.00702279555447978, 'т': 0.0015900669179954219, 'е': 0.0018320336229077686, 'кислород': 0.006482580511827489}","{'котор': 0.002170164930811519, 'сердц': 0.004385541631014945, 'вен': 0.01754216652405978, 'кровеносн': 0.010024095156605588, 'сосуд': 0.004385541631014945, 'нест': 0.10525299914435869, 'насыща': 0.10525299914435869, 'углекислот': 0.21050599828871738, 'венозн': 0.03508433304811956, 'исключ': 0.21050599828871738, 'легочн': 0.04210119965774347, 'пупочн': 0.21050599828871738, 'артериальн': 0.01754216652405978, 'т': 0.003971811288466366, 'е': 0.004576217354102552, 'кислород': 0.016192769099132105}"
4,"Эндокард  - внутренняя оболочка сердца, выстилающая его полости. Из складок эндокарда образуются клапаны сердца.","{'сердц': 0.001755698888619945, 'эндокард': 0.01685470933075147, 'внутрен': 0.0013167741664649587, 'оболочк': 0.0012039078093393908, 'выстила': 0.012039078093393909, 'ег': 0.002160860170609163, 'полост': 0.0016854709330751472, 'складк': 0.04213677332687868, 'образовыва': 0.001478483274627322, 'клапа': 0.02106838666343934}","{'сердц': 0.01726348501336797, 'эндокард': 0.16572945612833248, 'внутрен': 0.012947613760025976, 'оболочк': 0.011837818294880892, 'выстила': 0.11837818294880892, 'ег': 0.02124736617029904, 'полост': 0.016572945612833248, 'складк': 0.41432364032083124, 'образовыва': 0.014537671590204604, 'клапа': 0.20716182016041562}"
5,"Тромбоз - образование внутрисосудистых сгустков крови, препятствующих нормальному кровотоку. Опасен инфарктами","{'кров': 0.0005333768775554263, 'тромбоз': 0.02809118221791912, 'образован': 0.002809118221791912, 'внутрисосудист': 0.08427354665375736, 'сгусток': 0.04213677332687868, 'препятствова': 0.04213677332687868, 'нормальн': 0.004213677332687868, 'кровоток': 0.04213677332687868, 'опасн': 0.08427354665375736, 'инфаркт': 0.02106838666343934}","{'тромбоз': 0.07999999999999999, 'образован': 0.007999999999999998, 'внутрисосудист': 0.24, 'сгусток': 0.12, 'препятствова': 0.12, 'нормальн': 0.011999999999999999, 'кровоток': 0.12, 'опасн': 0.24, 'инфаркт': 0.06}"
6,"Оплодотворение - слияние женской яйцеклетки со сперматозоидом, в результате чего получается зигота, развивающаяся в новый организм.","{'оплодотворен': 0.04213677332687868, 'слиян': 0.02106838666343934, 'женск': 0.007661231513977942, 'яйцеклетк': 0.008427354665375735, 'сперматозоид': 0.006482580511827489, 'результат': 0.0049572674502210215, 'получа': 0.008427354665375735, 'зигот': 0.04213677332687868, 'развива': 0.004213677332687868, 'нов': 0.02809118221791912, 'организм': 0.0005046320158907626}","{'оплодотворен': 0.2420162406469234, 'слиян': 0.1210081203234617, 'женск': 0.044002952844895166, 'яйцеклетк': 0.04840324812938467, 'сперматозоид': 0.03723326779183437, 'результат': 0.028472498899638047, 'получа': 0.04840324812938467, 'зигот': 0.2420162406469234, 'развива': 0.024201624064692336, 'нов': 0.16134416043128227, 'организм': 0.002898398091579921}"
7,"Склеропротеины - фибриллярные белки, составляющие основу соединительной ткани (коллаген, кератины, эластин и др.).","{'др': 0.0006532833073934679, 'ткан': 0.0006019539046696954, 'склеропротеин': 0.08427354665375736, 'фибриллярн': 0.01685470933075147, 'белок': 0.002055452357408716, 'составля': 0.006482580511827489, 'основ': 0.006482580511827489, 'соединительн': 0.003664067245815537, 'коллаг': 0.012039078093393909, 'кератин': 0.04213677332687868, 'эластин': 0.02809118221791912}","{'склеропротеин': 0.41703067626977053, 'фибриллярн': 0.0834061352539541, 'белок': 0.010171479909018793, 'составля': 0.03207928278998235, 'основ': 0.03207928278998235, 'соединительн': 0.018131768533468283, 'коллаг': 0.05957581089568151, 'кератин': 0.20851533813488526, 'эластин': 0.13901022542325683}"
8,"Слюнные железы - выделяют слюну. У человека, кроме многочисленных мелких слюнныхжелез, в слизистой оболочкеязыка, неба, щек и губ имеется 3 пары крупных слюнных желез: околоушная, подчелюстная и подъязычная.","{'слюн': 0.006482580511827489, 'желез': 0.0007202867235363877, 'выделя': 0.0025537438379926473, 'человек': 0.0010404141562192267, 'кром': 0.08427354665375736, 'многочислен': 0.04213677332687868, 'мелк': 0.0049572674502210215, 'слюнныхжелез': 0.08427354665375736, 'слизист': 0.002055452357408716, 'оболочкеязык': 0.08427354665375736, 'неб': 0.08427354665375736, 'щек': 0.08427354665375736, 'губ': 0.02106838666343934, 'имет': 0.00312124246865768, '3': 0.01404559110895956, 'пар': 0.01404559110895956, 'крупн': 0.00936372740597304, 'околоушн': 0.08427354665375736, 'подчелюстн': 0.08427354665375736, 'подъязычн': 0.08427354665375736}","{'слюн': 0.008153582741351466, 'выделя': 0.003212017443562699, 'человек': 0.0013085996992292478, 'кром': 0.10599657563756906, 'многочислен': 0.05299828781878453, 'мелк': 0.006235092684562887, 'слюнныхжелез': 0.10599657563756906, 'слизист': 0.0025852823326236356, 'оболочкеязык': 0.10599657563756906, 'неб': 0.10599657563756906, 'щек': 0.10599657563756906, 'губ': 0.026499143909392266, 'имет': 0.003925799097687743, '3': 0.017666095939594843, 'пар': 0.017666095939594843, 'крупн': 0.01177739729306323, 'околоушн': 0.10599657563756906, 'подчелюстн': 0.10599657563756906, 'подъязычн': 0.10599657563756906}"
9,"Отоларинголог - специалист, занимающийся лечением болезней уха, носа, горла (глотки, гортани, трахеи) и пограничных анатомических областей и их профилактикой.","{'област': 0.00351139777723989, 'их': 0.001478483274627322, 'отоларинголог': 0.08427354665375736, 'специалист': 0.08427354665375736, 'занима': 0.08427354665375736, 'лечен': 0.002217724911940983, 'болезн': 0.0009260829302610698, 'ух': 0.006482580511827489, 'нос': 0.008427354665375735, 'горл': 0.02809118221791912, 'глотк': 0.01404559110895956, 'гортан': 0.01053419333171967, 'трахе': 0.008427354665375735, 'пограничн': 0.02106838666343934, 'анатомическ': 0.08427354665375736, 'профилактик': 0.00702279555447978}","{'област': 0.007814788164550782, 'их': 0.0032904371219161185, 'отоларинголог': 0.18755491594921875, 'специалист': 0.18755491594921875, 'занима': 0.18755491594921875, 'лечен': 0.004935655682874178, 'болезн': 0.002061043032408997, 'ух': 0.014427301226862982, 'нос': 0.018755491594921875, 'горл': 0.06251830531640626, 'глотк': 0.03125915265820313, 'гортан': 0.023444364493652343, 'трахе': 0.018755491594921875, 'пограничн': 0.04688872898730469, 'анатомическ': 0.18755491594921875, 'профилактик': 0.015629576329101565}"
