,Targ,KwMult
0,"Плазма  - жидкая часть крови, в которой находятся форменные элементы (эритроциты, лейкоциты, тромбоциты). По изменениям в составе плазмы крови диагностируются различные заболевания (ревматизм, сахарный диабет и тд.). Из плазмы крови готовят лекарственные препараты.","{'котор': 0.018256271205232082, 'част': 0.036512542410464165, 'препарат': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'соста': 0.054768813615696244, 'лекарствен': 0.10953762723139249, 'изменен': 0.10953762723139249}"
1,"Контрактура  - ограничение подвижности сустава, вызванное рубцовым стягиванием кожи, сухожилий, заболеваниями мышц, сустава, болевым рефлексом, др. причинами.","{'др': 0.027384406807848122, 'заболеван': 0.018256271205232082, 'причин': 0.10953762723139249}"
2,"Сердечный толчок  - вызванное сокращением сердца сотрясение передней стенки грудной клетки, распространяющееся в подложечную область. Сотрясение в области верхушки сердца называется верхушечным толчком. Их смещение, расширение площади, изменение силы помогают при диагностике заболеваний сердца.","{'област': 0.012170847470154721, 'помога': 0.10953762723139249, 'их': 0.10953762723139249, 'диагностик': 0.027384406807848122, 'заболеван': 0.018256271205232082, 'сокращен': 0.10953762723139249, 'называ': 0.10953762723139249, 'изменен': 0.10953762723139249}"
3,"Вены - кровеносные сосуды, несущие насыщенную углекислотой (венозную) кровь от органов и тканей к сердцу (исключая легочные и пупочную вены, которые несут артериальную, т.е. насыщенную кислородом кровь).","{'котор': 0.018256271205232082, 'орга': 0.10953762723139249}"
4,"Эндокард  - внутренняя оболочка сердца, выстилающая его полости. Из складок эндокарда образуются клапаны сердца.","{'внутрен': 0.10953762723139249, 'ег': 0.10953762723139249}"
5,"Тромбоз - образование внутрисосудистых сгустков крови, препятствующих нормальному кровотоку. Опасен инфарктами","{'образован': 0.006443389837140734, 'нормальн': 0.10953762723139249}"
6,"Оплодотворение - слияние женской яйцеклетки со сперматозоидом, в результате чего получается зигота, развивающаяся в новый организм.","{'получа': 0.015648232461627498, 'результат': 0.10953762723139249, 'организм': 0.054768813615696244, 'женск': 0.10953762723139249}"
7,"Склеропротеины - фибриллярные белки, составляющие основу соединительной ткани (коллаген, кератины, эластин и др.).",{'др': 0.027384406807848122}
8,"Слюнные железы - выделяют слюну. У человека, кроме многочисленных мелких слюнныхжелез, в слизистой оболочкеязыка, неба, щек и губ имеется 3 пары крупных слюнных желез: околоушная, подчелюстная и подъязычная.","{'имет': 0.027384406807848122, 'человек': 0.027384406807848122, 'пар': 0.10953762723139249, '3': 0.036512542410464165, 'кром': 0.10953762723139249}"
9,"Отоларинголог - специалист, занимающийся лечением болезней уха, носа, горла (глотки, гортани, трахеи) и пограничных анатомических областей и их профилактикой.","{'специалист': 0.0060854237350773605, 'област': 0.012170847470154721, 'занима': 0.013692203403924061, 'лечен': 0.012170847470154721, 'их': 0.10953762723139249, 'болезн': 0.054768813615696244, 'профилактик': 0.054768813615696244}"
