,Disease,Targ,KwMult,KwNorm
0,Боль мышечная,"Болезни мышц - в большинстве случаев сопровождаются мышечной болью, например, при воспалении мышц (миозите). Воспаления могут быть вызваны бактериями, вирусами, паразитами, грибками, а также проявляться при некоторых аутоиммунных заболеваниях. Боль проявляется при движении или даже при прикосновении к пораженному участку. Другие признаки мышечного воспаления - это ее уплотнение, мышечная слабость. Боль (миалгия) может быть различной интенсивности и различного характера (стреляющая, рвущая, ноющая, ломящая). Боль может вызываться и ревматизмом, а также другими заболеваниями. При ревматизме обычно болят мышцы шеи и спины. Для многих заболеваний мышц характерны мышечная слабость, быстрая утомляемость - все это также способствует возникновению болевого синдрома.","{'такж': 0.021907525446278497, 'ил': 0.007302508482092833, 'быт': 0.054768813615696244, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'случа': 0.036512542410464165, 'моч': 0.054768813615696244, 'друг': 0.054768813615696244, 'некотор': 0.10953762723139249, 'спин': 0.054768813615696244, 'например': 0.054768813615696244, 'мног': 0.054768813615696244, 'сопровожда': 0.10953762723139249}","{'такж': 0.030303030303030304, 'ил': 0.010101010101010102, 'быт': 0.07575757575757576, 'болезн': 0.07575757575757576, 'заболеван': 0.025252525252525256, 'эт': 0.05050505050505051, 'случа': 0.05050505050505051, 'моч': 0.07575757575757576, 'друг': 0.07575757575757576, 'некотор': 0.15151515151515152, 'спин': 0.07575757575757576, 'например': 0.07575757575757576, 'мног': 0.07575757575757576, 'сопровожда': 0.15151515151515152}"
1,Дивертикул Меккеля,Перекрут подвздошной кишки с развитием кишечной непроходимости.,{},{}
2,Боль головная,"Голова болит при повышенном кровяном давлении, почечной недостаточности, также болезнях почек, желудка и печени, лихорадке, вызванной инфекционными заболеваниями.","{'такж': 0.021907525446278497, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082}","{'такж': 0.23076923076923075, 'болезн': 0.5769230769230769, 'заболеван': 0.19230769230769232}"
5,Опухоли костей доброкачественные,"Остеома напоминает остеобластому, но ее диаметр не превышает 2 см. Чаще встречается у детей. Локализуется в трубчатых костях.","{'част': 0.036512542410464165, 'встреча': 0.10953762723139249, 'напомина': 0.054768813615696244, 'ребенок': 0.10953762723139249, '2': 0.018256271205232082}","{'част': 0.11111111111111112, 'встреча': 0.3333333333333333, 'напомина': 0.16666666666666666, 'ребенок': 0.3333333333333333, '2': 0.05555555555555556}"
6,Рак яичников,"Кистозная аденома - это наиболее часто встречаемая опухоль яичников, иногда достигающая размера куриного яйца, а иногда и больше: она даже может заполнить всю брюшную полость и сдвинуть другие органы брюшной полости. Вначале развитие опухоли протекает бессимптомно. Первые симптомы - увеличение объема живота без увеличения веса. Если кистозная аденома очень большая, то появляется ощущение полноты и давления в области желудка и печени. Поэтому у пациенток не возникает мысли о возможности гинекологического заболевания. При кистозной аденоме в организме женщины снижается содержание белков.","{'област': 0.012170847470154721, 'част': 0.036512542410464165, 'симпт': 0.10953762723139249, 'заболеван': 0.018256271205232082, 'эт': 0.036512542410464165, 'появля': 0.054768813615696244, 'встреча': 0.10953762723139249, 'иногд': 0.054768813615696244, 'гинекологическ': 0.10953762723139249, 'моч': 0.054768813615696244, 'друг': 0.054768813615696244, 'возможн': 0.10953762723139249, 'организм': 0.054768813615696244, 'опухол': 0.10953762723139249, 'орга': 0.10953762723139249, 'есл': 0.10953762723139249}","{'област': 0.010638297872340427, 'част': 0.03191489361702128, 'симпт': 0.09574468085106384, 'заболеван': 0.01595744680851064, 'эт': 0.03191489361702128, 'появля': 0.04787234042553192, 'встреча': 0.09574468085106384, 'иногд': 0.04787234042553192, 'гинекологическ': 0.09574468085106384, 'моч': 0.04787234042553192, 'друг': 0.04787234042553192, 'возможн': 0.09574468085106384, 'организм': 0.04787234042553192, 'опухол': 0.09574468085106384, 'орга': 0.09574468085106384, 'есл': 0.09574468085106384}"
7,Эндемический зоб,"Во многих местностях ощутим недостаток йода. Его мало в воздухе, питьевой воде, продуктах. В таком случае в рацион питания нужно включать морепродукты.","{'питан': 0.054768813615696244, 'случа': 0.036512542410464165, 'мног': 0.054768813615696244}","{'питан': 0.375, 'случа': 0.25, 'мног': 0.375}"
9,Асцит,Воспаление брюшины,{},{}
10,Цирроз печени,Моча коричневого цвета.,"{'цвет': 0.10953762723139249, 'моч': 0.054768813615696244}","{'цвет': 0.6666666666666666, 'моч': 0.3333333333333333}"
11,Сальмонеллез,Лихорадка.,{},{}
12,Аллергические кожные реакции,"При высыпаниях на коже большой площади можно подозревать аллергию к лекарствам, стиральным средствам, краскам одежды и волокнам ткани. Аллергию кожи под мышками вызывают дезодоранты, средства для удаления волос; кожи спины - застегивающиеся на спине молнии и застежки бюстгальтеров; области поясницы - пояса, резинки нижнего белья, стиральные средства.","{'област': 0.012170847470154721, 'лекарств': 0.10953762723139249, 'спин': 0.054768813615696244, 'волокн': 0.10953762723139249}","{'област': 0.0425531914893617, 'лекарств': 0.3829787234042553, 'спин': 0.19148936170212766, 'волокн': 0.3829787234042553}"
