web-scraper-order,web-scraper-start-url,Pages,Pages-href,Definitions
"1588585622-39634","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Плазма  - жидкая часть крови, в которой находятся форменные элементы (эритроциты, лейкоциты, тромбоциты). По изменениям в составе плазмы крови диагностируются различные заболевания (ревматизм, сахарный диабет и тд.). Из плазмы крови готовят лекарственные препараты."
"1588585633-39880","https://petroleks.ru/dictionaries/dict_med.php","К","https://petroleks.ru/dictionaries/dict_med10.php","Контрактура  - ограничение подвижности сустава, вызванное рубцовым стягиванием кожи, сухожилий, заболеваниями мышц, сустава, болевым рефлексом, др. причинами."
"1588585618-39443","https://petroleks.ru/dictionaries/dict_med.php","С","https://petroleks.ru/dictionaries/dict_med17.php","Сердечный толчок  - вызванное сокращением сердца сотрясение передней стенки грудной клетки, распространяющееся в подложечную область. Сотрясение в области верхушки сердца называется верхушечным толчком. Их смещение, расширение площади, изменение силы помогают при диагностике заболеваний сердца."
"1588585648-40118","https://petroleks.ru/dictionaries/dict_med.php","В","https://petroleks.ru/dictionaries/dict_med3.php","Вены - кровеносные сосуды, несущие насыщенную углекислотой (венозную) кровь от органов и тканей к сердцу (исключая легочные и пупочную вены, которые несут артериальную, т.е. насыщенную кислородом кровь)."
"1588585599-39237","https://petroleks.ru/dictionaries/dict_med.php","Э","https://petroleks.ru/dictionaries/dict_med26.php","Эндокард  - внутренняя оболочка сердца, выстилающая его полости. Из складок эндокарда образуются клапаны сердца."
"1588585616-39421","https://petroleks.ru/dictionaries/dict_med.php","Т","https://petroleks.ru/dictionaries/dict_med18.php","Тромбоз - образование внутрисосудистых сгустков крови, препятствующих нормальному кровотоку. Опасен инфарктами"
"1588585624-39708","https://petroleks.ru/dictionaries/dict_med.php","О","https://petroleks.ru/dictionaries/dict_med14.php","Оплодотворение - слияние женской яйцеклетки со сперматозоидом, в результате чего получается зигота, развивающаяся в новый организм."
"1588585618-39474","https://petroleks.ru/dictionaries/dict_med.php","С","https://petroleks.ru/dictionaries/dict_med17.php","Склеропротеины - фибриллярные белки, составляющие основу соединительной ткани (коллаген, кератины, эластин и др.)."
"1588585618-39484","https://petroleks.ru/dictionaries/dict_med.php","С","https://petroleks.ru/dictionaries/dict_med17.php","Слюнные железы - выделяют слюну. У человека, кроме многочисленных мелких слюнныхжелез, в слизистой оболочкеязыка, неба, щек и губ имеется 3 пары крупных слюнных желез: околоушная, подчелюстная и подъязычная."
"1588585624-39731","https://petroleks.ru/dictionaries/dict_med.php","О","https://petroleks.ru/dictionaries/dict_med14.php","Отоларинголог - специалист, занимающийся лечением болезней уха, носа, горла (глотки, гортани, трахеи) и пограничных анатомических областей и их профилактикой."
"1588585622-39660","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Предстательная железа (простата) - непарная железа мужской половой системы. Расположена в малом тазу, между дном мочевого пузыря и прямой кишкой. Секрет ее обеспечивает жизнедеятельность сперматозоидов в семенной жидкости. Воспаление предстательной железы - простатит."
