,Definitions,Term,TermLemm,KwMult
0," жидкая часть крови, в которой находятся форменные элементы (эритроциты, лейкоциты, тромбоциты). По изменениям в составе плазмы крови диагностируются различные заболевания (ревматизм, сахарный диабет и тд.). Из плазмы крови готовят лекарственные препараты.",Плазма  ,['плазм'],"{'плазм': 0.01523900375402285, 'жидк': 0.008381452064712568, 'част': 0.0013303892166210425, 'кров': 0.001591414948996057, 'котор': 0.0008640672231662441, 'наход': 0.01047681508089071, 'формен': 0.02095363016178142, 'элемент': 0.00364410959335329, 'эритроцит': 0.004190726032356284, 'лейкоцит': 0.005587634709808378, 'тромбоцит': 0.013969086774520946, 'изменен': 0.005986751474794691, 'состав': 0.008381452064712568, 'диагностир': 0.08381452064712568, 'различн': 0.0023281811290868245, 'заболеван': 0.00044820599276537796, 'ревматизм': 0.013969086774520946, 'сахарн': 0.007619501877011425, 'диабет': 0.007619501877011425, 'тд': 0.005986751474794691, 'готов': 0.04190726032356284, 'лекарствен': 0.0029933757373973454, 'препарат': 0.0026192037702226774}"
1," ограничение подвижности сустава, вызванное рубцовым стягиванием кожи, сухожилий, заболеваниями мышц, сустава, болевым рефлексом, др. причинами.",Контрактура  ,['контрактур'],"{'заболеван': 0.00044820599276537796, 'ограничен': 0.013969086774520946, 'подвижн': 0.009312724516347298, 'сустав': 0.007982335299726254, 'вызва': 0.01047681508089071, 'рубцов': 0.08381452064712568, 'стягиван': 0.08381452064712568, 'кож': 0.0011973502949589382, 'сухожил': 0.01047681508089071, 'мышц': 0.0017105004213699118, 'болев': 0.027938173549041892, 'рефлекс': 0.011973502949589382, 'др': 0.0006497249662567882, 'причин': 0.002890155884383644}"
2," вызванное сокращением сердца сотрясение передней стенки грудной клетки, распространяющееся в подложечную область. Сотрясение в области верхушки сердца называется верхушечным толчком. Их смещение, расширение площади, изменение силы помогают при диагностике заболеваний сердца.",Сердечный толчок  ,"['сердечн', 'толчок']","{'изменен': 0.005986751474794691, 'заболеван': 0.00044820599276537796, 'вызва': 0.01047681508089071, 'сокращен': 0.003991167649863127, 'сердц': 0.005238407540445355, 'сотрясен': 0.08381452064712568, 'передн': 0.008381452064712568, 'стенк': 0.004930265920419157, 'грудн': 0.009312724516347298, 'клетк': 0.0010221283005747033, 'распространя': 0.027938173549041892, 'подложечн': 0.08381452064712568, 'област': 0.006984543387260473, 'верхушк': 0.08381452064712568, 'называ': 0.007619501877011425, 'верхушечн': 0.08381452064712568, 'толчк': 0.027938173549041892, 'смещен': 0.04190726032356284, 'расширен': 0.007619501877011425, 'площад': 0.08381452064712568, 'сил': 0.027938173549041892, 'помога': 0.027938173549041892, 'диагностик': 0.01047681508089071}"
3," кровеносные сосуды, несущие насыщенную углекислотой (венозную) кровь от органов и тканей к сердцу (исключая легочные и пупочную вены, которые несут артериальную, т.е. насыщенную кислородом кровь).",Вены ,['вен'],"{'кров': 0.0010609432993307047, 'котор': 0.0008640672231662441, 'сердц': 0.0017461358468151182, 'вен': 0.006984543387260473, 'кровеносн': 0.003991167649863127, 'сосуд': 0.0017461358468151182, 'несущ': 0.08381452064712568, 'насыщен': 0.04190726032356284, 'углекислот': 0.08381452064712568, 'венозн': 0.013969086774520946, 'орган': 0.0008916438366715498, 'ткан': 0.0005986751474794691, 'исключ': 0.08381452064712568, 'легочн': 0.016762904129425136, 'пупочн': 0.08381452064712568, 'несут': 0.08381452064712568, 'артериальн': 0.006984543387260473, 'т': 0.0015814060499457674, 'е': 0.0015814060499457674, 'кислород': 0.006447270819009667}"
4," внутренняя оболочка сердца, выстилающая его полости. Из складок эндокарда образуются клапаны сердца.",Эндокард  ,['эндокард'],"{'сердц': 0.0034922716936302365, 'эндокард': 0.016762904129425136, 'внутрен': 0.0013096018851113387, 'оболочк': 0.0013518471072117043, 'выстила': 0.011973502949589382, 'ег': 0.0018625449032694595, 'полост': 0.0016762904129425135, 'складок': 0.08381452064712568, 'образ': 0.0010221283005747033, 'клапа': 0.04190726032356284}"
5," образование внутрисосудистых сгустков крови, препятствующих нормальному кровотоку. Опасен инфарктами",Тромбоз ,['тромбоз'],"{'кров': 0.0005304716496653524, 'образован': 0.002793817354904189, 'внутрисосудист': 0.08381452064712568, 'сгустк': 0.08381452064712568, 'препятств': 0.027938173549041892, 'нормальн': 0.004190726032356284, 'кровоток': 0.04190726032356284, 'опас': 0.08381452064712568, 'инфаркт': 0.02095363016178142}"
6," слияние женской яйцеклетки со сперматозоидом, в результате чего получается зигота, развивающаяся в новый организм.",Оплодотворение ,['оплодотворен'],"{'слиян': 0.02095363016178142, 'женск': 0.007619501877011425, 'яйцеклетк': 0.01047681508089071, 'сперматозоид': 0.006447270819009667, 'результат': 0.004930265920419157, 'чег': 0.013969086774520946, 'получа': 0.01047681508089071, 'зигот': 0.04190726032356284, 'развива': 0.004656362258173649, 'нов': 0.027938173549041892, 'организм': 0.0005018833571684172}"
7," фибриллярные белки, составляющие основу соединительной ткани (коллаген, кератины, эластин и др.).",Склеропротеины ,['склеропротеин'],"{'др': 0.0006497249662567882, 'ткан': 0.0005986751474794691, 'фибриллярн': 0.016762904129425136, 'белк': 0.0019048754692528563, 'составля': 0.006447270819009667, 'основ': 0.006447270819009667, 'соединительн': 0.00364410959335329, 'коллаг': 0.013969086774520946, 'кератин': 0.04190726032356284, 'эластин': 0.027938173549041892}"
8," выделяют слюну. У человека, кроме многочисленных мелких слюнныхжелез, в слизистой оболочкеязыка, неба, щек и губ имеется 3 пары крупных слюнных желез: околоушная, подчелюстная и подъязычная.",Слюнные железы ,"['слюн', 'желез']","{'слюн': 0.012894541638019334, 'желез': 0.0007163634243344075, 'выделя': 0.002890155884383644, 'человек': 0.0011175269419616757, 'кром': 0.08381452064712568, 'многочислен': 0.04190726032356284, 'мелк': 0.006984543387260473, 'слюнныхжелез': 0.08381452064712568, 'слизист': 0.0020442566011494067, 'оболочкеязык': 0.08381452064712568, 'неб': 0.08381452064712568, 'щек': 0.08381452064712568, 'губ': 0.02095363016178142, 'имеет': 0.006447270819009667, '3': 0.013969086774520946, 'пар': 0.013969086774520946, 'крупн': 0.009312724516347298, 'околоушн': 0.08381452064712568, 'подчелюстн': 0.08381452064712568, 'подъязычн': 0.08381452064712568}"
9," специалист, занимающийся лечением болезней уха, носа, горла (глотки, гортани, трахеи) и пограничных анатомических областей и их профилактикой.",Отоларинголог ,['отоларинголог'],"{'област': 0.0034922716936302365, 'специалист': 0.08381452064712568, 'занима': 0.08381452064712568, 'лечен': 0.0022056452801875177, 'болезн': 0.0009210386884299525, 'ух': 0.008381452064712568, 'нос': 0.008381452064712568, 'горл': 0.027938173549041892, 'глотк': 0.011973502949589382, 'гортан': 0.01047681508089071, 'трах': 0.01047681508089071, 'пограничн': 0.02095363016178142, 'анатомическ': 0.08381452064712568, 'профилактик': 0.006984543387260473}"
