,Definitions,Term,TermLemm,KwMult,KwNorm
0," жидкая часть крови, в которой находятся форменные элементы (эритроциты, лейкоциты, тромбоциты). По изменениям в составе плазмы крови диагностируются различные заболевания (ревматизм, сахарный диабет и тд.). Из плазмы крови готовят лекарственные препараты.",Плазма  ,['плазм'],"{'плазм': 0.015322463027955884, 'жидк': 0.008427354665375735, 'част': 0.001053419333171967, 'кров': 0.0016001306326662791, 'котор': 0.0008687994500387356, 'наход': 0.00936372740597304, 'формен': 0.02106838666343934, 'элемент': 0.003664067245815537, 'изменен': 0.006019539046696954, 'различн': 0.00234093185149326, 'заболеван': 0.0004506606772928201, 'ревматизм': 0.01404559110895956, 'сахарн': 0.007661231513977942, 'диабет': 0.007661231513977942, 'тд': 0.006019539046696954, 'готов': 0.04213677332687868, 'лекарствен': 0.003009769523348477, 'препарат': 0.0026335483329299175}","{'плазм': 0.09992009367265692, 'жидк': 0.054956051519961295, 'част': 0.006869506439995162, 'кров': 0.010434693326574932, 'котор': 0.005665572321645495, 'наход': 0.061062279466623674, 'формен': 0.13739012879990325, 'элемент': 0.023893935443461436, 'изменен': 0.039254322514258075, 'различн': 0.015265569866655919, 'заболеван': 0.0029388262844899093, 'ревматизм': 0.09159341919993551, 'сахарн': 0.04996004683632846, 'диабет': 0.04996004683632846, 'тд': 0.039254322514258075, 'готов': 0.2747802575998065, 'лекарствен': 0.019627161257129037, 'препарат': 0.017173766099987907}"
1," ограничение подвижности сустава, вызванное рубцовым стягиванием кожи, сухожилий, заболеваниями мышц, сустава, болевым рефлексом, др. причинами.",Контрактура  ,['контрактур'],"{'заболеван': 0.0004506606772928201, 'ограничен': 0.01404559110895956, 'подвижн': 0.00936372740597304, 'рубцов': 0.08427354665375736, 'стягиван': 0.08427354665375736, 'кож': 0.0012039078093393908, 'сухожил': 0.01053419333171967, 'мышц': 0.0017198682990562726, 'болев': 0.02809118221791912, 'рефлекс': 0.012039078093393909, 'др': 0.0006532833073934679, 'причин': 0.0029059843673709435}","{'ограничен': 0.05653272579108353, 'подвижн': 0.037688483860722356, 'рубцов': 0.33919635474650117, 'стягиван': 0.33919635474650117, 'кож': 0.0048456622106643026, 'сухожил': 0.042399544343312646, 'мышц': 0.006922374586663289, 'болев': 0.11306545158216706, 'рефлекс': 0.04845662210664303, 'причин': 0.01169642602574142}"
2," вызванное сокращением сердца сотрясение передней стенки грудной клетки, распространяющееся в подложечную область. Сотрясение в области верхушки сердца называется верхушечным толчком. Их смещение, расширение площади, изменение силы помогают при диагностике заболеваний сердца.",Сердечный толчок  ,"['сердечн', 'толчок']","{'изменен': 0.006019539046696954, 'заболеван': 0.0004506606772928201, 'сокращен': 0.004013026031131303, 'сердц': 0.005267096665859835, 'сотрясен': 0.08427354665375736, 'передн': 0.008427354665375735, 'стенк': 0.003830615756988971, 'грудн': 0.00936372740597304, 'клетк': 0.0006196584312776277, 'распространя': 0.008427354665375735, 'подложечн': 0.08427354665375736, 'област': 0.00702279555447978, 'верхушк': 0.08427354665375736, 'называ': 0.00702279555447978, 'верхушечн': 0.08427354665375736, 'их': 0.001478483274627322, 'смещен': 0.04213677332687868, 'расширен': 0.008427354665375735, 'площад': 0.08427354665375736, 'сил': 0.02809118221791912, 'помога': 0.02809118221791912, 'диагностик': 0.01053419333171967}","{'изменен': 0.010040577330527562, 'сокращен': 0.006693718220351708, 'сердц': 0.008785505164211617, 'сотрясен': 0.14056808262738588, 'передн': 0.014056808262738585, 'стенк': 0.006389458301244812, 'грудн': 0.01561867584748732, 'распространя': 0.014056808262738585, 'подложечн': 0.14056808262738588, 'област': 0.011714006885615488, 'верхушк': 0.14056808262738588, 'называ': 0.011714006885615488, 'верхушечн': 0.14056808262738588, 'их': 0.0024661067127611552, 'смещен': 0.07028404131369294, 'расширен': 0.014056808262738585, 'площад': 0.14056808262738588, 'сил': 0.04685602754246195, 'помога': 0.04685602754246195, 'диагностик': 0.017571010328423235}"
3," кровеносные сосуды, несущие насыщенную углекислотой (венозную) кровь от органов и тканей к сердцу (исключая легочные и пупочную вены, которые несут артериальную, т.е. насыщенную кислородом кровь).",Вены ,['вен'],"{'кров': 0.0010667537551108527, 'котор': 0.0008687994500387356, 'сердц': 0.001755698888619945, 'вен': 0.00702279555447978, 'кровеносн': 0.004013026031131303, 'сосуд': 0.001755698888619945, 'углекислот': 0.08427354665375736, 'венозн': 0.01404559110895956, 'ткан': 0.0006019539046696954, 'исключ': 0.08427354665375736, 'легочн': 0.01685470933075147, 'пупочн': 0.08427354665375736, 'артериальн': 0.00702279555447978, 'т': 0.0015900669179954219, 'е': 0.0018320336229077686, 'кислород': 0.006482580511827489, 'насыщен': 0.08427354665375736}","{'кров': 0.0026575514906225345, 'котор': 0.0021643976057647446, 'сердц': 0.004373886828316255, 'вен': 0.01749554731326502, 'кровеносн': 0.00999745560758001, 'сосуд': 0.004373886828316255, 'углекислот': 0.20994656775918022, 'венозн': 0.03499109462653004, 'исключ': 0.20994656775918022, 'легочн': 0.04198931355183604, 'пупочн': 0.20994656775918022, 'артериальн': 0.01749554731326502, 'т': 0.003961255995456231, 'е': 0.004564055820851743, 'кислород': 0.016149735981475403, 'насыщен': 0.20994656775918022}"
4," внутренняя оболочка сердца, выстилающая его полости. Из складок эндокарда образуются клапаны сердца.",Эндокард  ,['эндокард'],"{'сердц': 0.00351139777723989, 'эндокард': 0.01685470933075147, 'внутрен': 0.0013167741664649587, 'оболочк': 0.0012039078093393908, 'выстила': 0.012039078093393909, 'ег': 0.002160860170609163, 'полост': 0.0016854709330751472, 'клапа': 0.02106838666343934, 'образ': 0.0024078156186787816}","{'сердц': 0.05640944579269218, 'эндокард': 0.27076533980492246, 'внутрен': 0.02115354217225957, 'оболочк': 0.019340381414637318, 'выстила': 0.1934038141463732, 'ег': 0.034713505103195194, 'полост': 0.027076533980492246, 'клапа': 0.3384566747561531, 'образ': 0.038680762829274636}"
5," образование внутрисосудистых сгустков крови, препятствующих нормальному кровотоку. Опасен инфарктами",Тромбоз ,['тромбоз'],"{'кров': 0.0005333768775554263, 'образован': 0.002809118221791912, 'внутрисосудист': 0.08427354665375736, 'нормальн': 0.004213677332687868, 'кровоток': 0.04213677332687868, 'инфаркт': 0.02106838666343934, 'препятств': 0.08427354665375736}","{'образован': 0.01176470588235294, 'внутрисосудист': 0.3529411764705882, 'нормальн': 0.017647058823529408, 'кровоток': 0.1764705882352941, 'инфаркт': 0.08823529411764705, 'препятств': 0.3529411764705882}"
6," слияние женской яйцеклетки со сперматозоидом, в результате чего получается зигота, развивающаяся в новый организм.",Оплодотворение ,['оплодотворен'],"{'слиян': 0.02106838666343934, 'женск': 0.007661231513977942, 'яйцеклетк': 0.008427354665375735, 'сперматозоид': 0.006482580511827489, 'результат': 0.0049572674502210215, 'получа': 0.008427354665375735, 'зигот': 0.04213677332687868, 'развива': 0.004213677332687868, 'нов': 0.02809118221791912, 'организм': 0.0005046320158907626}","{'слиян': 0.15964474018116115, 'женск': 0.05805263279314951, 'яйцеклетк': 0.06385789607246446, 'сперматозоид': 0.04912145851728036, 'результат': 0.03756346827792027, 'получа': 0.06385789607246446, 'зигот': 0.3192894803623223, 'развива': 0.03192894803623223, 'нов': 0.21285965357488154, 'организм': 0.0038238261121236205}"
7," фибриллярные белки, составляющие основу соединительной ткани (коллаген, кератины, эластин и др.).",Склеропротеины ,['склеропротеин'],"{'др': 0.0006532833073934679, 'ткан': 0.0006019539046696954, 'фибриллярн': 0.01685470933075147, 'составля': 0.006482580511827489, 'основ': 0.006482580511827489, 'соединительн': 0.003664067245815537, 'коллаг': 0.012039078093393909, 'кератин': 0.04213677332687868, 'эластин': 0.02809118221791912, 'белк': 0.00702279555447978}","{'др': 0.005267181758287444, 'ткан': 0.00485333176299343, 'фибриллярн': 0.13589328936381603, 'составля': 0.052266649755313865, 'основ': 0.052266649755313865, 'соединительн': 0.029542019426916533, 'коллаг': 0.09706663525986861, 'кератин': 0.33973322340954015, 'эластин': 0.22648881560636008, 'белк': 0.05662220390159002}"
8," выделяют слюну. У человека, кроме многочисленных мелких слюнныхжелез, в слизистой оболочкеязыка, неба, щек и губ имеется 3 пары крупных слюнных желез: околоушная, подчелюстная и подъязычная.",Слюнные железы ,"['слюн', 'желез']","{'слюн': 0.012965161023654978, 'желез': 0.0007202867235363877, 'выделя': 0.0025537438379926473, 'человек': 0.0010404141562192267, 'кром': 0.08427354665375736, 'многочислен': 0.04213677332687868, 'мелк': 0.0049572674502210215, 'слюнныхжелез': 0.08427354665375736, 'слизист': 0.002055452357408716, 'оболочкеязык': 0.08427354665375736, 'неб': 0.08427354665375736, 'щек': 0.08427354665375736, 'губ': 0.02106838666343934, '3': 0.01404559110895956, 'пар': 0.01404559110895956, 'крупн': 0.00936372740597304, 'околоушн': 0.08427354665375736, 'подчелюстн': 0.08427354665375736, 'подъязычн': 0.08427354665375736}","{'слюн': 0.01623851256488369, 'выделя': 0.003198494899143757, 'человек': 0.001303090514465975, 'кром': 0.10555033167174398, 'многочислен': 0.05277516583587199, 'мелк': 0.006208843039514352, 'слюнныхжелез': 0.10555033167174398, 'слизист': 0.00257439833345717, 'оболочкеязык': 0.10555033167174398, 'неб': 0.10555033167174398, 'щек': 0.10555033167174398, 'губ': 0.026387582917935994, '3': 0.017591721945290663, 'пар': 0.017591721945290663, 'крупн': 0.011727814630193775, 'околоушн': 0.10555033167174398, 'подчелюстн': 0.10555033167174398, 'подъязычн': 0.10555033167174398}"
9," специалист, занимающийся лечением болезней уха, носа, горла (глотки, гортани, трахеи) и пограничных анатомических областей и их профилактикой.",Отоларинголог ,['отоларинголог'],"{'област': 0.00351139777723989, 'их': 0.001478483274627322, 'специалист': 0.08427354665375736, 'занима': 0.08427354665375736, 'лечен': 0.002217724911940983, 'болезн': 0.0009260829302610698, 'ух': 0.006482580511827489, 'нос': 0.008427354665375735, 'горл': 0.02809118221791912, 'глотк': 0.01404559110895956, 'гортан': 0.01053419333171967, 'пограничн': 0.02106838666343934, 'анатомическ': 0.08427354665375736, 'профилактик': 0.00702279555447978}","{'област': 0.009846151743492088, 'их': 0.004145748102522984, 'специалист': 0.23630764184381012, 'занима': 0.23630764184381012, 'лечен': 0.0062186221537844765, 'болезн': 0.002596787273008902, 'ух': 0.018177510911062317, 'нос': 0.02363076418438101, 'горл': 0.0787692139479367, 'глотк': 0.03938460697396835, 'гортан': 0.029538455230476265, 'пограничн': 0.05907691046095253, 'анатомическ': 0.23630764184381012, 'профилактик': 0.019692303486984176}"
