web-scraper-order,web-scraper-start-url,ProfLinks,ProfLinks-href,DescriptionText
"1588589782-40169","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Диетолог","https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3","Дието́лог — специалист в области диетологии, соответствующий академическим и профессиональным требованиям. Врач-диетолог является дипломированным врачом, закончившим медицинский вуз и получившим затем дополнительное образование по диетологии, подтвержденное соответствующим дипломом. Является экспертом в области питания. Врачи-диетологи  занимаются лечением ожирения, а также дают рекомендации пациентам по вопросам правильного питания, ведения здорового образа жизни, либо ставят цели для достижения определённых результатов, связанных со здоровьем."
"1588589784-40170","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Гезель (должность в Российской империи)","https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%B7%D0%B5%D0%BB%D1%8C_(%D0%B4%D0%BE%D0%BB%D0%B6%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%B8%D0%BC%D0%BF%D0%B5%D1%80%D0%B8%D0%B8)","Гезе́ль (от нем. Geselle — подмастерье, товарищ) — в Российской империи с XVI по XIX век должность помощника аптекаря или врача[1]."
"1588589803-40179","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Акушерка","https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%83%D1%88%D0%B5%D1%80%D0%BA%D0%B0","Акуше́рка (фр. accoucher — помогать при родах[1]) — средний медицинский работник, специалист в акушерстве, оказывающий помощь беременным и роженицам (во время родов). В России для работы акушеркой необходимо получить среднее специальное образование по специальности «Медико-акушерское дело». Квалификации: «акушер(ка)», «фельдшер-акушер». Не следует путать с врачом акушер-гинекологом (высшее медицинское образование)."
"1588589799-40177","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Архиятр","https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%85%D0%B8%D1%8F%D1%82%D1%80","Архия́тр, также архия́тор, архия́тер (от др.-греч. άρχι «главный, старший» + ιατρός «врач») — наименование врача, состоящего при особе государя, преимущественно при римских императорах. Впоследствии это звание присвоено было и тем медикам, на которых возлагали известные общественные обязанности."
"1588589759-40158","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Прозектор","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%B7%D0%B5%D0%BA%D1%82%D0%BE%D1%80","Прозе́ктор (от лат. prōsecta, ōrum [proseco] — жертвенные части животного, внутренности) — помощник профессора анатомии, изготовляющий препараты."
"1588589776-40166","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Лекарь","https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BA%D0%B0%D1%80%D1%8C","Ле́карь — официальное название врача в Российской империи."
"1588589757-40157","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Психиатр","https://ru.wikipedia.org/wiki/%D0%9F%D1%81%D0%B8%D1%85%D0%B8%D0%B0%D1%82%D1%80","Психиа́тр (др.-греч. ψυχή — душа; ἰατρός — врач) — специалист с высшим образованием в области психиатрии, области медицины, изучающей психические расстройства. В отличие от психологов, не всегда являющихся врачами, психиатры занимаются оценкой симптомов пациентов для определения их следствия из психофизической и физической болезней."
"1588589740-40149","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Хирург","https://ru.wikipedia.org/wiki/%D0%A5%D0%B8%D1%80%D1%83%D1%80%D0%B3","Хиру́рг (др.-греч. χερί — рука + др.-греч. ἔργον — работа, действие) — врач-специалист, получивший подготовку по методам диагностики и хирургического лечения заболеваний и травм[1]."
"1588589765-40161","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Отоневролог","https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D0%BE%D0%BD%D0%B5%D0%B2%D1%80%D0%BE%D0%BB%D0%BE%D0%B3","Отоневролог - это врач, который специализируется на нарушениях вестибулярного аппарата, появившихся в следствие воспалительного процесса головного мозга, черепно-мозговой травмы или заболеваний."
"1588589742-40150","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Физиотерапевт","https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%B7%D0%B8%D0%BE%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82","Физиотерапе́вт — специалист с профессиональным образованием, который восстанавливает или сохраняет нарушенную двигательную способность и дееспособность пациента."
