,ProfLinks,DescriptionText,KwMult,KwNorm
0,Диетолог,"Дието́лог — специалист в области диетологии, соответствующий академическим и профессиональным требованиям. Врач-диетолог является дипломированным врачом, закончившим медицинский вуз и получившим затем дополнительное образование по диетологии, подтвержденное соответствующим дипломом. Является экспертом в области питания. Врачи-диетологи  занимаются лечением ожирения, а также дают рекомендации пациентам по вопросам правильного питания, ведения здорового образа жизни, либо ставят цели для достижения определённых результатов, связанных со здоровьем.","{'диет': 0.10914181288692824, 'лог': 0.015591687555275463, 'специалист': 0.006063434049273791, 'област': 0.024253736197095165, 'диетолог': 0.10914181288692824, 'соответств': 0.05457090644346412, 'академическ': 0.10914181288692824, 'профессиональн': 0.05457090644346412, 'требован': 0.10914181288692824, 'врач': 0.008849336180021209, 'явля': 0.02728545322173206, 'дипломирова': 0.10914181288692824, 'законч': 0.10914181288692824, 'медицинск': 0.0036380604295642746, 'вуз': 0.10914181288692824, 'получ': 0.015591687555275463, 'зат': 0.10914181288692824, 'дополнительн': 0.10914181288692824, 'образован': 0.006420106640407544, 'подтвержден': 0.10914181288692824, 'диплом': 0.05457090644346412, 'эксперт': 0.05457090644346412, 'питан': 0.10914181288692824, 'занима': 0.01364272661086603, 'лечен': 0.012126868098547582, 'ожирен': 0.10914181288692824, 'такж': 0.02182836257738565, 'дают': 0.10914181288692824, 'рекомендац': 0.10914181288692824, 'пациент': 0.015591687555275463, 'вопрос': 0.03638060429564275, 'правильн': 0.10914181288692824, 'веден': 0.10914181288692824, 'здоров': 0.0727612085912855, 'образ': 0.10914181288692824, 'жизн': 0.05457090644346412, 'либ': 0.05457090644346412, 'став': 0.10914181288692824, 'цел': 0.05457090644346412, 'достижен': 0.10914181288692824, 'определен': 0.03638060429564275, 'результат': 0.10914181288692824, 'связа': 0.05457090644346412}","{'диет': 0.037176059535169795, 'лог': 0.005310865647881399, 'специалист': 0.0020653366408427665, 'област': 0.008261346563371066, 'диетолог': 0.037176059535169795, 'соответств': 0.018588029767584897, 'академическ': 0.037176059535169795, 'профессиональн': 0.018588029767584897, 'требован': 0.037176059535169795, 'врач': 0.0030142750974462, 'явля': 0.009294014883792449, 'дипломирова': 0.037176059535169795, 'законч': 0.037176059535169795, 'медицинск': 0.0012392019845056598, 'вуз': 0.037176059535169795, 'получ': 0.005310865647881399, 'зат': 0.037176059535169795, 'дополнительн': 0.037176059535169795, 'образован': 0.0021868270314805765, 'подтвержден': 0.037176059535169795, 'диплом': 0.018588029767584897, 'эксперт': 0.018588029767584897, 'питан': 0.037176059535169795, 'занима': 0.004647007441896224, 'лечен': 0.004130673281685533, 'ожирен': 0.037176059535169795, 'такж': 0.00743521190703396, 'дают': 0.037176059535169795, 'рекомендац': 0.037176059535169795, 'пациент': 0.005310865647881399, 'вопрос': 0.0123920198450566, 'правильн': 0.037176059535169795, 'веден': 0.037176059535169795, 'здоров': 0.0247840396901132, 'образ': 0.037176059535169795, 'жизн': 0.018588029767584897, 'либ': 0.018588029767584897, 'став': 0.037176059535169795, 'цел': 0.018588029767584897, 'достижен': 0.037176059535169795, 'определен': 0.0123920198450566, 'результат': 0.037176059535169795, 'связа': 0.018588029767584897}"
2,Акушерка,"Акуше́рка (фр. accoucher — помогать при родах[1]) — средний медицинский работник, специалист в акушерстве, оказывающий помощь беременным и роженицам (во время родов). В России для работы акушеркой необходимо получить среднее специальное образование по специальности «Медико-акушерское дело». Квалификации: «акушер(ка)», «фельдшер-акушер». Не следует путать с врачом акушер-гинекологом (высшее медицинское образование).","{'специалист': 0.006063434049273791, 'врач': 0.0029497787266737365, 'медицинск': 0.007276120859128549, 'получ': 0.015591687555275463, 'образован': 0.012840213280815088, '1': 0.007276120859128549, 'акуш': 0.05457090644346412, 'рка': 0.05457090644346412, 'фр': 0.10914181288692824, 'accoucher': 0.10914181288692824, 'помога': 0.10914181288692824, 'род': 0.05457090644346412, 'средн': 0.02728545322173206, 'работник': 0.03638060429564275, 'акушерств': 0.05457090644346412, 'оказыва': 0.10914181288692824, 'помощ': 0.018190302147821375, 'беремен': 0.05457090644346412, 'рожениц': 0.10914181288692824, 'врем': 0.02728545322173206, 'росс': 0.02728545322173206, 'работ': 0.03638060429564275, 'акушерк': 0.10914181288692824, 'необходим': 0.05457090644346412, 'специальн': 0.02182836257738565, 'медик': 0.018190302147821375, 'акушерск': 0.10914181288692824, 'дел': 0.03638060429564275, 'квалификац': 0.05457090644346412, 'акушер': 0.08185635966519618, 'ка': 0.10914181288692824, 'фельдшер': 0.10914181288692824, 'след': 0.10914181288692824, 'пута': 0.03638060429564275, 'гинеколог': 0.05457090644346412, 'высш': 0.01364272661086603}","{'специалист': 0.0030919015598373026, 'врач': 0.0015041683264073364, 'медицинск': 0.003710281871804763, 'получ': 0.007950604011010207, 'образован': 0.006547556244361347, '1': 0.003710281871804763, 'акуш': 0.027827114038535723, 'рка': 0.027827114038535723, 'фр': 0.055654228077071446, 'accoucher': 0.055654228077071446, 'помога': 0.055654228077071446, 'род': 0.027827114038535723, 'средн': 0.013913557019267862, 'работник': 0.018551409359023815, 'акушерств': 0.027827114038535723, 'оказыва': 0.055654228077071446, 'помощ': 0.009275704679511908, 'беремен': 0.027827114038535723, 'рожениц': 0.055654228077071446, 'врем': 0.013913557019267862, 'росс': 0.013913557019267862, 'работ': 0.018551409359023815, 'акушерк': 0.055654228077071446, 'необходим': 0.027827114038535723, 'специальн': 0.011130845615414291, 'медик': 0.009275704679511908, 'акушерск': 0.055654228077071446, 'дел': 0.018551409359023815, 'квалификац': 0.027827114038535723, 'акушер': 0.04174067105780358, 'ка': 0.055654228077071446, 'фельдшер': 0.055654228077071446, 'след': 0.055654228077071446, 'пута': 0.018551409359023815, 'гинеколог': 0.027827114038535723, 'высш': 0.006956778509633931}"
6,Психиатр,"Психиа́тр (др.-греч. ψυχή — душа; ἰατρός — врач) — специалист с высшим образованием в области психиатрии, области медицины, изучающей психические расстройства. В отличие от психологов, не всегда являющихся врачами, психиатры занимаются оценкой симптомов пациентов для определения их следствия из психофизической и физической болезней.","{'специалист': 0.006063434049273791, 'област': 0.024253736197095165, 'врач': 0.005899557453347473, 'явля': 0.01364272661086603, 'образован': 0.006420106640407544, 'занима': 0.01364272661086603, 'пациент': 0.015591687555275463, 'определен': 0.03638060429564275, 'высш': 0.01364272661086603, 'тр': 0.05457090644346412, 'др': 0.02728545322173206, 'греч': 0.02728545322173206, 'псих': 0.10914181288692824, 'ψυχή': 0.10914181288692824, 'душ': 0.10914181288692824, 'ἰατρός': 0.10914181288692824, 'психиатр': 0.0727612085912855, 'медицин': 0.03638060429564275, 'изуча': 0.10914181288692824, 'психическ': 0.05457090644346412, 'расстройств': 0.10914181288692824, 'отлич': 0.05457090644346412, 'психолог': 0.10914181288692824, 'всегд': 0.10914181288692824, 'оценк': 0.10914181288692824, 'симптом': 0.10914181288692824, 'следств': 0.05457090644346412, 'психофизическ': 0.10914181288692824, 'физическ': 0.10914181288692824, 'болезн': 0.05457090644346412}","{'специалист': 0.0032221350358520163, 'област': 0.012888540143408065, 'врач': 0.0031350503051533135, 'явля': 0.007249803830667037, 'образован': 0.003411672390902135, 'занима': 0.007249803830667037, 'пациент': 0.008285490092190899, 'определен': 0.0193328102151121, 'высш': 0.007249803830667037, 'тр': 0.028999215322668147, 'др': 0.014499607661334074, 'греч': 0.014499607661334074, 'псих': 0.057998430645336295, 'ψυχή': 0.057998430645336295, 'душ': 0.057998430645336295, 'ἰατρός': 0.057998430645336295, 'психиатр': 0.0386656204302242, 'медицин': 0.0193328102151121, 'изуча': 0.057998430645336295, 'психическ': 0.028999215322668147, 'расстройств': 0.057998430645336295, 'отлич': 0.028999215322668147, 'психолог': 0.057998430645336295, 'всегд': 0.057998430645336295, 'оценк': 0.057998430645336295, 'симптом': 0.057998430645336295, 'следств': 0.028999215322668147, 'психофизическ': 0.057998430645336295, 'физическ': 0.057998430645336295, 'болезн': 0.028999215322668147}"
7,Хирург,"Хиру́рг (др.-греч. χερί — рука + др.-греч. ἔργον — работа, действие) — врач-специалист, получивший подготовку по методам диагностики и хирургического лечения заболеваний и травм[1].","{'специалист': 0.006063434049273791, 'врач': 0.0029497787266737365, 'получ': 0.015591687555275463, 'лечен': 0.012126868098547582, '1': 0.007276120859128549, 'работ': 0.03638060429564275, 'др': 0.05457090644346412, 'греч': 0.05457090644346412, 'хир': 0.10914181288692824, 'рг': 0.10914181288692824, 'χερί': 0.10914181288692824, 'рук': 0.10914181288692824, 'ἔργον': 0.10914181288692824, 'действ': 0.05457090644346412, 'подготовк': 0.03638060429564275, 'метод': 0.10914181288692824, 'диагностик': 0.02728545322173206, 'хирургическ': 0.10914181288692824, 'заболеван': 0.018190302147821375, 'травм': 0.03638060429564275}","{'специалист': 0.0053833506889233934, 'врач': 0.0026189273621789484, 'получ': 0.013842901771517296, 'лечен': 0.010766701377846787, '1': 0.006460020826708071, 'работ': 0.03230010413354036, 'др': 0.04845015620031054, 'греч': 0.04845015620031054, 'хир': 0.09690031240062108, 'рг': 0.09690031240062108, 'χερί': 0.09690031240062108, 'рук': 0.09690031240062108, 'ἔργον': 0.09690031240062108, 'действ': 0.04845015620031054, 'подготовк': 0.03230010413354036, 'метод': 0.09690031240062108, 'диагностик': 0.02422507810015527, 'хирургическ': 0.09690031240062108, 'заболеван': 0.01615005206677018, 'травм': 0.03230010413354036}"
8,Отоневролог,"Отоневролог - это врач, который специализируется на нарушениях вестибулярного аппарата, появившихся в следствие воспалительного процесса головного мозга, черепно-мозговой травмы или заболеваний.","{'врач': 0.0029497787266737365, 'ил': 0.007276120859128549, 'эт': 0.02182836257738565, 'котор': 0.018190302147821375, 'следств': 0.05457090644346412, 'заболеван': 0.018190302147821375, 'травм': 0.03638060429564275, 'отоневролог': 0.10914181288692824, 'специализир': 0.10914181288692824, 'нарушен': 0.03638060429564275, 'вестибулярн': 0.10914181288692824, 'аппарат': 0.10914181288692824, 'появ': 0.05457090644346412, 'воспалительн': 0.10914181288692824, 'процесс': 0.03638060429564275, 'головн': 0.02728545322173206, 'мозг': 0.02728545322173206, 'черепн': 0.10914181288692824, 'мозгов': 0.10914181288692824}","{'врач': 0.0026688017080330937, 'ил': 0.006583044213148297, 'эт': 0.019749132639444892, 'котор': 0.016457610532870745, 'следств': 0.04937283159861223, 'заболеван': 0.016457610532870745, 'травм': 0.03291522106574149, 'отоневролог': 0.09874566319722446, 'специализир': 0.09874566319722446, 'нарушен': 0.03291522106574149, 'вестибулярн': 0.09874566319722446, 'аппарат': 0.09874566319722446, 'появ': 0.04937283159861223, 'воспалительн': 0.09874566319722446, 'процесс': 0.03291522106574149, 'головн': 0.024686415799306114, 'мозг': 0.024686415799306114, 'черепн': 0.09874566319722446, 'мозгов': 0.09874566319722446}"
9,Физиотерапевт,"Физиотерапе́вт — специалист с профессиональным образованием, который восстанавливает или сохраняет нарушенную двигательную способность и дееспособность пациента.","{'специалист': 0.006063434049273791, 'профессиональн': 0.05457090644346412, 'образован': 0.006420106640407544, 'пациент': 0.015591687555275463, 'ил': 0.007276120859128549, 'котор': 0.018190302147821375, 'нарушен': 0.03638060429564275, 'физиотерап': 0.10914181288692824, 'вт': 0.10914181288692824, 'восстанавлива': 0.10914181288692824, 'сохраня': 0.10914181288692824, 'двигательн': 0.10914181288692824, 'способн': 0.10914181288692824, 'дееспособн': 0.10914181288692824}","{'специалист': 0.006674219564997924, 'профессиональн': 0.060067976084981316, 'образован': 0.007066820715880155, 'пациент': 0.017162278881423233, 'ил': 0.008009063477997508, 'котор': 0.020022658694993773, 'нарушен': 0.040045317389987546, 'физиотерап': 0.12013595216996263, 'вт': 0.12013595216996263, 'восстанавлива': 0.12013595216996263, 'сохраня': 0.12013595216996263, 'двигательн': 0.12013595216996263, 'способн': 0.12013595216996263, 'дееспособн': 0.12013595216996263}"
10,Зубной техник,"Зубной техник — одна из профессий в современной стоматологии, входит в понятие дантист. Зубных техников часто путают с зубными врачами или стоматологами. Однако в отличие от стоматологов или зубных врачей, зубной техник не встречается с пациентами. Иногда в исключительных случаях такая встреча бывает необходима. Чаще всего пациенты стоматологических клиник попадают в зуботехническую лабораторию для коррекции цвета зубных протезов, для замены матриц аттачменов в бюгельных протезах или для починки съёмного протеза.","{'врач': 0.005899557453347473, 'пациент': 0.031183375110550925, 'ил': 0.021828362577385647, 'необходим': 0.05457090644346412, 'пута': 0.03638060429564275, 'част': 0.05457090644346412, 'отлич': 0.05457090644346412, 'зубн': 0.09355012533165277, 'техник': 0.10914181288692826, 'одн': 0.10914181288692824, 'професс': 0.05457090644346412, 'современ': 0.05457090644346412, 'стоматолог': 0.08185635966519618, 'вход': 0.03638060429564275, 'понят': 0.10914181288692824, 'дантист': 0.10914181288692824, 'однак': 0.10914181288692824, 'встреча': 0.10914181288692824, 'иногд': 0.05457090644346412, 'исключительн': 0.10914181288692824, 'случа': 0.03638060429564275, 'встреч': 0.10914181288692824, 'быва': 0.10914181288692824, 'чащ': 0.10914181288692824, 'всег': 0.10914181288692824, 'стоматологическ': 0.10914181288692824, 'клиник': 0.10914181288692824, 'попада': 0.10914181288692824, 'зуботехническ': 0.10914181288692824, 'лаборатор': 0.10914181288692824, 'коррекц': 0.10914181288692824, 'цвет': 0.10914181288692824, 'протез': 0.10914181288692826, 'зам': 0.10914181288692824, 'матриц': 0.10914181288692824, 'аттачмен': 0.10914181288692824, 'бюгельн': 0.10914181288692824, 'починк': 0.10914181288692824, 'съемн': 0.10914181288692824}","{'врач': 0.0017354547201269375, 'пациент': 0.00917311780638524, 'ил': 0.006421182464469668, 'необходим': 0.01605295616117417, 'пута': 0.010701970774116113, 'част': 0.01605295616117417, 'отлич': 0.01605295616117417, 'зубн': 0.027519353419155717, 'техник': 0.03210591232234834, 'одн': 0.03210591232234834, 'професс': 0.01605295616117417, 'современ': 0.01605295616117417, 'стоматолог': 0.024079434241761254, 'вход': 0.010701970774116113, 'понят': 0.03210591232234834, 'дантист': 0.03210591232234834, 'однак': 0.03210591232234834, 'встреча': 0.03210591232234834, 'иногд': 0.01605295616117417, 'исключительн': 0.03210591232234834, 'случа': 0.010701970774116113, 'встреч': 0.03210591232234834, 'быва': 0.03210591232234834, 'чащ': 0.03210591232234834, 'всег': 0.03210591232234834, 'стоматологическ': 0.03210591232234834, 'клиник': 0.03210591232234834, 'попада': 0.03210591232234834, 'зуботехническ': 0.03210591232234834, 'лаборатор': 0.03210591232234834, 'коррекц': 0.03210591232234834, 'цвет': 0.03210591232234834, 'протез': 0.03210591232234834, 'зам': 0.03210591232234834, 'матриц': 0.03210591232234834, 'аттачмен': 0.03210591232234834, 'бюгельн': 0.03210591232234834, 'починк': 0.03210591232234834, 'съемн': 0.03210591232234834}"
12,Акушер-гинеколог,"Акуше́р-гинеко́лог — врач специалист, получивший специальную подготовку по вопросам акушерства и гинекологии, профилактики и лечения гинекологической патологии, медицинского наблюдения за течением беременности, оказания врачебной помощи в процессе родов и в послеродовом периоде[1]. В двух словах, врач, контролирующий процесс вынашивания и рождения ребёнка и несущий ответственность за здоровье плода и его мамы.","{'лог': 0.015591687555275463, 'специалист': 0.006063434049273791, 'врач': 0.005899557453347473, 'медицинск': 0.0036380604295642746, 'получ': 0.015591687555275463, 'лечен': 0.012126868098547582, 'вопрос': 0.03638060429564275, 'здоров': 0.03638060429564275, '1': 0.007276120859128549, 'акуш': 0.05457090644346412, 'род': 0.02728545322173206, 'акушерств': 0.05457090644346412, 'помощ': 0.018190302147821375, 'беремен': 0.05457090644346412, 'специальн': 0.010914181288692825, 'гинеколог': 0.05457090644346412, 'подготовк': 0.03638060429564275, 'процесс': 0.0727612085912855, 'р': 0.05457090644346412, 'гинек': 0.10914181288692824, 'профилактик': 0.05457090644346412, 'гинекологическ': 0.10914181288692824, 'патолог': 0.05457090644346412, 'наблюден': 0.10914181288692824, 'течен': 0.10914181288692824, 'оказан': 0.03638060429564275, 'врачебн': 0.018190302147821375, 'послеродов': 0.10914181288692824, 'период': 0.10914181288692824, 'двух': 0.10914181288692824, 'слов': 0.10914181288692824, 'контролир': 0.10914181288692824, 'вынашиван': 0.10914181288692824, 'рожден': 0.10914181288692824, 'ребенк': 0.10914181288692824, 'несущ': 0.10914181288692824, 'ответствен': 0.05457090644346412, 'плод': 0.10914181288692824, 'ег': 0.10914181288692824, 'мам': 0.10914181288692824}","{'лог': 0.006133901409968421, 'специалист': 0.0023854061038766083, 'врач': 0.0023209356686367, 'медицинск': 0.001431243662325965, 'получ': 0.006133901409968421, 'лечен': 0.004770812207753217, 'вопрос': 0.01431243662325965, 'здоров': 0.01431243662325965, '1': 0.00286248732465193, 'акуш': 0.021468654934889475, 'род': 0.010734327467444738, 'акушерств': 0.021468654934889475, 'помощ': 0.007156218311629825, 'беремен': 0.021468654934889475, 'специальн': 0.004293730986977895, 'гинеколог': 0.021468654934889475, 'подготовк': 0.01431243662325965, 'процесс': 0.0286248732465193, 'р': 0.021468654934889475, 'гинек': 0.04293730986977895, 'профилактик': 0.021468654934889475, 'гинекологическ': 0.04293730986977895, 'патолог': 0.021468654934889475, 'наблюден': 0.04293730986977895, 'течен': 0.04293730986977895, 'оказан': 0.01431243662325965, 'врачебн': 0.007156218311629825, 'послеродов': 0.04293730986977895, 'период': 0.04293730986977895, 'двух': 0.04293730986977895, 'слов': 0.04293730986977895, 'контролир': 0.04293730986977895, 'вынашиван': 0.04293730986977895, 'рожден': 0.04293730986977895, 'ребенк': 0.04293730986977895, 'несущ': 0.04293730986977895, 'ответствен': 0.021468654934889475, 'плод': 0.04293730986977895, 'ег': 0.04293730986977895, 'мам': 0.04293730986977895}"
13,Санинструктор,"Санита́рный инстру́ктор (сокращённо санинстру́ктор; ВУС – 878659А, состав категории учёта (должность) – сержанты) — лицо младшего медицинского состава военно-медицинской службы, прошедшее специальную военно-медицинскую подготовку (в учебном подразделении), и ответственное за медицинское обеспечение роты или батареи.","{'медицинск': 0.014552241718257098, 'должност': 0.018190302147821375, 'ил': 0.007276120859128549, 'специальн': 0.010914181288692825, 'ктор': 0.05457090644346412, 'подготовк': 0.03638060429564275, 'ответствен': 0.05457090644346412, 'санит': 0.03638060429564275, 'рны': 0.10914181288692824, 'инстр': 0.10914181288692824, 'сокращен': 0.10914181288692824, 'санинстр': 0.10914181288692824, 'вус': 0.10914181288692824, '878659а': 0.10914181288692824, 'соста': 0.10914181288692824, 'категор': 0.10914181288692824, 'учет': 0.10914181288692824, 'сержант': 0.10914181288692824, 'лиц': 0.02728545322173206, 'младш': 0.03638060429564275, 'состав': 0.10914181288692824, 'воен': 0.05457090644346412, 'служб': 0.05457090644346412, 'прошедш': 0.03638060429564275, 'учебн': 0.10914181288692824, 'подразделен': 0.05457090644346412, 'обеспечен': 0.10914181288692824, 'рот': 0.10914181288692824, 'батар': 0.10914181288692824}","{'медицинск': 0.006820119352088663, 'должност': 0.00852514919011083, 'ил': 0.0034100596760443316, 'специальн': 0.005115089514066498, 'ктор': 0.025575447570332487, 'подготовк': 0.01705029838022166, 'ответствен': 0.025575447570332487, 'санит': 0.01705029838022166, 'рны': 0.051150895140664975, 'инстр': 0.051150895140664975, 'сокращен': 0.051150895140664975, 'санинстр': 0.051150895140664975, 'вус': 0.051150895140664975, '878659а': 0.051150895140664975, 'соста': 0.051150895140664975, 'категор': 0.051150895140664975, 'учет': 0.051150895140664975, 'сержант': 0.051150895140664975, 'лиц': 0.012787723785166244, 'младш': 0.01705029838022166, 'состав': 0.051150895140664975, 'воен': 0.025575447570332487, 'служб': 0.025575447570332487, 'прошедш': 0.01705029838022166, 'учебн': 0.051150895140664975, 'подразделен': 0.025575447570332487, 'обеспечен': 0.051150895140664975, 'рот': 0.051150895140664975, 'батар': 0.051150895140664975}"
14,Врач общей практики,Врач общей практики — специалист в области общей медицины. В России врачом общей практики может быть только специалист с высшим медицинским образованием. Разновидностью врача общей практики является семейный врач. Задачей врача общей практики является оказание первичной врачебной помощи[1][2].,"{'специалист': 0.012126868098547582, 'област': 0.012126868098547582, 'врач': 0.014748893633368683, 'явля': 0.02728545322173206, 'медицинск': 0.0036380604295642746, 'образован': 0.006420106640407544, '1': 0.007276120859128549, 'помощ': 0.018190302147821375, 'росс': 0.02728545322173206, 'высш': 0.01364272661086603, 'медицин': 0.03638060429564275, 'оказан': 0.03638060429564275, 'врачебн': 0.018190302147821375, 'общ': 0.09095151073910687, 'практик': 0.06236675022110185, 'может': 0.05457090644346412, 'быт': 0.10914181288692824, 'тольк': 0.10914181288692824, 'разновидн': 0.10914181288692824, 'семейн': 0.10914181288692824, 'задач': 0.10914181288692824, 'первичн': 0.10914181288692824, '2': 0.018190302147821375}","{'специалист': 0.010879796350375651, 'област': 0.010879796350375651, 'врач': 0.013232184750456875, 'явля': 0.024479541788345216, 'медицинск': 0.0032639389051126954, 'образован': 0.005759892185492992, '1': 0.006527877810225391, 'помощ': 0.016319694525563477, 'росс': 0.024479541788345216, 'высш': 0.012239770894172608, 'медицин': 0.032639389051126955, 'оказан': 0.032639389051126955, 'врачебн': 0.016319694525563477, 'общ': 0.08159847262781739, 'практик': 0.05595323837336049, 'может': 0.04895908357669043, 'быт': 0.09791816715338086, 'тольк': 0.09791816715338086, 'разновидн': 0.09791816715338086, 'семейн': 0.09791816715338086, 'задач': 0.09791816715338086, 'первичн': 0.09791816715338086, '2': 0.016319694525563477}"
